rank	country	code	point	prev_point	prev_rank
1	Brazil	BRA	846	829	0
2	Argentina	ARG	787	785	1
3	Netherlands	NED	781	783	1
4	Czech Republic	CZE	778	790	-2
5	Mexico	MEX	768	759	1
6	USA	USA	765	744	4
7	France	FRA	749	765	-2
8	England	ENG	744	757	-1
8	Spain	ESP	744	747	1
10	Portugal	POR	739	755	-2
11	Germany	GER	723	695	10
12	Turkey	TUR	716	719	2
13	Japan	JPN	715	710	5
14	Italy	ITA	713	725	-3
15	Republic of Ireland	IRL	711	714	0
15	Iran	IRN	711	711	2
17	Sweden	SWE	710	722	-5
18	Uruguay	URU	703	710	0
19	Denmark	DEN	698	713	-3
19	Greece	GRE	698	720	-6
21	Korea Republic	KOR	696	696	-1
22	Croatia	CRO	695	694	0
23	Costa Rica	CRC	691	684	1
24	Poland	POL	689	689	-1
25	Colombia	COL	683	673	0
26	Egypt	EGY	671	668	2
27	Cameroon	CMR	666	670	-1
28	Saudi Arabia	KSA	661	662	3
29	Nigeria	NGA	659	665	0
30	Russia	RUS	657	669	-3
31	Romania	ROU	651	654	1
32	Tunisia	TUN	649	632	6
33	Ecuador	ECU	647	646	1
34	Paraguay	PAR	645	663	-4
35	Morocco	MAR	643	650	-2
36	Norway	NOR	639	640	-1
36	Ukraine	UKR	639	640	-1
38	South Africa	RSA	634	630	1
39	Honduras	HON	631	594	11
39	Senegal	SEN	631	639	-2
41	Jamaica	JAM	627	618	0
42	Switzerland	SUI	624	616	0
43	Finland	FIN	619	621	-3
44	Cote d`Ivoire	CIV	618	602	2
45	Slovakia	SVK	613	607	-2
46	Bulgaria	BUL	610	605	-1
47	Slovenia	SVN	600	606	-3
48	Israel	ISR	598	600	-1
49	Serbia and Montenegro	SCG	595	598	0
50	Belgium	BEL	592	600	-3
50	Bahrain	BHR	592	593	1
52	Iraq	IRQ	591	591	0
53	Zimbabwe	ZIM	581	588	0
53	Uzbekistan	UZB	581	584	1
55	Kuwait	KUW	578	580	1
56	China PR	CHN	577	569	5
57	Jordan	JOR	575	584	-3
58	Trinidad and Tobago	TRI	573	574	0
59	Mali	MLI	571	570	0
60	Australia	AUS	569	579	-3
61	Guatemala	GUA	568	570	-2
62	Belarus	BLR	566	567	0
62	Zambia	ZAM	566	550	11
64	Oman	OMA	561	565	-1
65	Latvia	LVA	560	563	-1
66	Hungary	HUN	559	561	-1
67	Togo	TOG	555	559	0
68	Venezuela	VEN	551	554	2
68	Angola	ANG	551	551	4
70	Ghana	GHA	548	547	6
71	Austria	AUT	547	548	3
72	Chile	CHI	546	544	5
73	Libya	LBY	545	560	-7
73	Peru	PER	545	556	-4
75	Qatar	QAT	544	548	-1
75	Cuba	CUB	544	554	-5
77	Bosnia and Herzegovina	BIH	535	538	1
78	Congo DR	COD	531	557	-10
79	Kenya	KEN	526	523	1
80	Wales	WAL	525	534	-1
81	Algeria	ALG	524	523	-1
82	Estonia	EST	520	522	0
83	Panama	PAN	515	482	15
84	Canada	CAN	514	510	1
85	Scotland	SCO	507	511	-2
86	Albania	ALB	501	503	0
87	United Arab Emirates	UAE	500	503	-1
87	Haiti	HAI	500	499	1
89	Guinea	GUI	497	511	-6
90	Burkina Faso	BFA	496	494	1
91	Korea DPR	PRK	492	492	3
92	Iceland	ISL	491	496	-2
92	Indonesia	IDN	491	494	-1
94	Lithuania	LTU	490	492	0
94	FYR Macedonia	MKD	490	492	0
96	Thailand	THA	485	499	-8
97	Syria	SYR	484	493	-4
98	Gabon	GAB	476	458	5
99	Bolivia	BOL	474	484	-2
99	Singapore	SIN	474	472	0
