id	name	country	bday
1000	"Jang, Min Chul "	"Korea, Republic of"	1991-06-17
1001	"Lim, Jae Duk "	"Korea, Republic of"	1982-12-12
1002	"Jung, Jong Hyun "	"Korea, Republic of"	1991-02-12
1003	"Choi, Sung Hoon "	"Korea, Republic of"	1988-07-02
1004	"Lee, Jung Hoon "	"Korea, Republic of"	1993-07-11
1005	"Park, Sung Joon "	"Korea, Republic of"	1986-12-18
1006	"Kim, Jung Hoon "	"Korea, Republic of"	1990-11-26
1007	"Moon, Sung Won "	"Korea, Republic of"	1988-10-29
1008	"Lee, Yoon Yeol "	"Korea, Republic of"	1984-11-20
1009	"Hwang, Kang Ho "	"Korea, Republic of"	1992-04-11
1010	"Lee, Jung-Hwan "	"Korea, Republic of"	1987-08-19
1011	"Kang, Cho-Won "	"Korea, Republic of"	1990-05-14
1012	"Ahn, Hong Wook "	"Korea, Republic of"	1987-03-26
1013	"Song, Joon Hyuk "	"Korea, Republic of"	1991-07-23
1014	"Kim, Seung Chul "	"Korea, Republic of"	1995-02-14
1015	"Han, Kyu Jong "	"Korea, Republic of"	1987-11-04
1016	Jonathan Walsh 	Sweden	1989-01-14
1017	"Byun, Hyun Woo "	"Korea, Republic of"	1993-05-08
1018	"Jung, Min Soo "	"Korea, Republic of"	1991-08-01
1019	"Seo, Ki Soo "	"Korea, Republic of"	1984-11-29
1020	Chris Loranger 	Canada	1989-05-10
1021	"Choi, Jung Min "	"Korea, Republic of"	1991-03-31
1022	"Kim, Dong Ju "	"Korea, Republic of"	1987-12-30
1023	"Kim, Sang Cheol "	"Korea, Republic of"	1987-09-21
1024	"Ji, Hoon Jung "	"Korea, Republic of"	1994-04-16
1025	"Lee, Dong Nyung "	"Korea, Republic of"	1995-04-01
1026	"Choi, Jong Hwan "	"Korea, Republic of"	1994-04-14
1027	"Shin, Sang Ho "	"Korea, Republic of"	1990-02-09
1028	"Kim, Young Jin "	"Korea, Republic of"	1990-05-17
1029	"Kim, Dong Won "	"Korea, Republic of"	1991-04-16
1030	"Choi, Ji Sung "	"Korea, Republic of"	1988-01-16
1031	"Ahn, Ho Jin "	"Korea, Republic of"	1991-01-22
1032	"Park, Joon Yong "	"Korea, Republic of"	1992-10-26
1033	"Han, Lee Seok "	"Korea, Republic of"	1992-11-16
1034	"Yang, Joon Sik "	"Korea, Republic of"	1987-08-01
1035	"Han, Joon "	"Korea, Republic of"	1993-03-16
1036	"Hwang, Kyo Seok "	"Korea, Republic of"	1994-10-02
1037	"Kim, Won Ki "	"Korea, Republic of"	1985-07-15
1038	"Kim, Sang Jun "	"Korea, Republic of"	1992-10-02
1039	"Kim, Hak Soo "	"Korea, Republic of"	1989-04-23
1040	"Kim, Chan Min "	"Korea, Republic of"	1991-04-05
1041	"Lee, Hyung Joo "	"Korea, Republic of"	1986-02-14
1042	"Park, Joon "	"Korea, Republic of"	1986-12-21
1043	"Lee, Hyung Seop "	"Korea, Republic of"	1988-08-08
1044	"Park, Sang Ik "	"Korea, Republic of"	1982-08-06
1045	"Kim, Sung Je "	"Korea, Republic of"	1984-02-08
1046	"Park, Seo Yong "	"Korea, Republic of"	1993-12-04
1047	"Lim, Yo Hwan "	"Korea, Republic of"	1980-09-04
1048	"Kim, Yoo Jong "	"Korea, Republic of"	1989-02-06
1049	"Chae, Do Joon "	"Korea, Republic of"	1995-01-12
1050	"Jung, Seung Il "	"Korea, Republic of"	1992-06-17
1051	"Lee, Dae Jin "	"Korea, Republic of"	1991-07-16
1052	"Kim, Dong Hwan "	"Korea, Republic of"	1990-12-05
1053	"Seo, Myung Deok "	"Korea, Republic of"	1989-02-18
